,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Skullback Crab,Fish,WOE,C,Creature,1,,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Sunk Cost,Fish,WOE,C,Action,1,,,,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Toxicuda Venom,Fish,WOE,C,Upgrade,1,1,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Allusions of Grandeur,Fish,WOE,U,Action,4,1,,,,1,,,,,,2,,1,1,2,2,,9,4.5,14,4.7,20,5,26,5.2
Azure Basin Outpost,Fish,WOE,U,Artifact,3,1,,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Catch and Release,Fish,WOE,U,Action,6,,,1,,1,,,1,,,3,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Dragnet,Fish,WOE,U,Action,5,1,,,,,,,,,,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Fuguru,Fish,WOE,U,Creature,1,,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Kaupe,Fish,WOE,U,Creature,2,,,,,1,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Kelping Hands,Fish,WOE,U,Artifact,2,1,,1,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Physaloha,Fish,WOE,U,Creature,3,,,1,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sleep with the Fishes,Fish,WOE,U,Action,2,1,,1,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Soleft,Fish,WOE,U,Creature,2,,,1,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Stir-Crazy,Fish,WOE,U,Action,3,1,1,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Thundertow,Fish,WOE,U,Action,3,1,,1,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Timoti the Dammed,Fish,WOE,U,Creature,6,,1,,,1,1,,,,,3,1,0,0,0,0,,12,6,18,6.0,24,6,30,6
Under Pressure,Fish,WOE,U,Upgrade,2,,,1,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Watch Your Step,Fish,WOE,U,Action,2,1,,,,,,,,,,1,1,0,0,0,0,,4,2,6,2.0,8,2,10,2
Yanthi Ghostfin,Fish,WOE,U,Creature,3,,,,,,,,,,,1.5,1,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Brackish Shoreline,Fish,WOE,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Bryozoarch,Fish,WOE,R,Creature,6,,,,,1,1,,,,,1.5,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Corrode,Fish,WOE,R,Action,5,1,,,,,,,,1,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Extrematode Infection,Fish,WOE,R,Upgrade,1,,,1,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Giltspine School,Fish,WOE,R,Creature,4,,,,,,1,,,,,1,1,0,0,0,0,,8,4,12,4.0,16,4,20,4
Hypoxia,Fish,WOE,R,Action,2,1,,1,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Kiligog's Trench,Fish,WOE,R,Artifact,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Llack Gaboon,Fish,WOE,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Offering to Kiligog,Fish,WOE,R,Artifact,2,,,,,,,,,,,0.5,1,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Plunder,Fish,WOE,R,Action,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Rustmiser,Fish,WOE,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sibyl Waimare,Fish,WOE,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sobogg's Thingamabob,Fish,WOE,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Cultist Linked Set,Fish,WOE,R,Creature,3,1,,1,,,,,,,,0.75,1,1,2,2,2,,7,3.5,12,4.0,17,4.25,22,4.4
Te-wheke Kraken,Fish,WOE,R,Creature,0,1,,,,,,,,,,0,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
Thalassophobia,Fish,WOE,R,Action,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
The Chosen One,Fish,WOE,R,Creature,5,,,,,1,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Weak Link,Fish,WOE,R,Upgrade,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Whirlpool,Fish,WOE,R,Artifact,3,,,,,1,,,,,,0.75,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0,0,0,0
Cultist,Fish,WOE,T,Token,4,,,,,,,,,,,,,,,,,,8,4,12,4.0,16,4,20,4
Fish,Fish,WOE,T,Token,3,,,1/4,,,,,,,,,,,,,,,6,3,9,3.0,12,3,15,3
Priest,Fish,WOE,T,Token,2,,,1/8,,,,,,,,,,,,,,,4,2,6,2.0,8,2,10,2
Raider,Fish,WOE,T,Token,1,,,1/8,,,,,,,,,,,,,,,2,1,3,1.0,4,1,5,1
Anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostform,Anomaly,WC,*,Upgrade,6,1,,,,,,,,,,,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Infomancer,Anomaly,WC,*,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lateral Shift,Anomaly,WC,*,Action,6,1,,,,1,,,,,,,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Memolith,Anomaly,WC,*,Artifact,2,,,,1,,,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
"Nizak, The Forgotten",Anomaly,WC,*,Creature,1,,,,,1,1,,,,,,,-1,-1,-1,-1,,1,0.5,1,0.3,1,0.25,1,0.2
The Grim Reaper,Anomaly,WC,*,Creature,4,1,,1,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
The Red Baron,Anomaly,WC,*,Creature,4,1,1,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Timequake,Anomaly,WC,*,Action,2,1,,,,,,,,,,,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Ecto-Charge,Anomaly,WOE,*,Action,6,1,,,,,,,,,1,,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Near-Future Lens,Anomaly,WOE,*,Artifact,4,1,,,1,,,,,,,,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Curse of Forgetfulness,Anomaly,WOE,,Artifact,1,,,,,1,,,,,,,,-1,-1,-1,-1,,1,0.5,1,0.3,1,0.25,1,0.2
Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master of 1,Dis,COTA,R,Creature,1,,,0,,,,,,,,,,-2,-2,-2,-2,,0,0,-1,-0.3,-2,-0.5,-3,-0.6
Master of 2,Dis,COTA,R,Creature,2,,,1,,,,,,,,,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Master of 3,Dis,COTA,R,Creature,3,,,1,,,,,,,,,,-2,-2,-2,-2,,4,2,5,1.7,6,1.5,7,1.4
Ambassadors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brobnar Ambassador,Sanctum,AOA,R,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Dis Ambassador,Sanctum,AOA,R,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Logos Ambassador,Sanctum,AOA,R,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Mars Ambassador,Sanctum,AOA,R,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Shadows Ambassador,Sanctum,AOA,R,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Untamed Ambassador,Sanctum,AOA,R,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brobnar Plant,Shadows,WC,U,Creature,0,1,,,,,,,,,,,,-2,-3,-4,-4,,-2,-1,-5,-1.7,-9,-2.25,-13,-2.6
Dis Plant,Shadows,WC,U,Creature,2,1,,,,,,,,,,,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Logos Plant,Shadows,WC,U,Creature,3,1,,,,,,,,,,,,1,0,-1,-1,,7,3.5,10,3.3,12,3,14,2.8
Saurian Plant,Shadows,WC,U,Creature,2,1,,,,,,,,,,,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Star Alliance Plant,Shadows,WC,U,Creature,2,1,,,,,,,,,,,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Untamed Plant,Shadows,WC,U,Creature,1,1,,,,,,,,,,,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Sins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desire,Dis,MM,R,Creature,3,,1,,,,,,,,1,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Envy,Dis,MM,R,Creature,4,,1,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Gluttony,Dis,MM,R,Creature,4,,,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Greed,Dis,MM,R,Creature,6,,,,1,,1,,,,,,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Pride,Dis,MM,R,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sloth,Dis,MM,R,Creature,4,1,,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Wrath,Dis,MM,R,Creature,3,,,1,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Hybrid Mutants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino-Fiend,Dis,MM,C,Creature,3,1,1,1,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lyco-Fiend,Dis,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sacro-Fiend,Dis,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Techno-Fiend,Dis,MM,C,Creature,4,1,1,,1,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Umbra-Fiend,Dis,MM,C,Creature,2,1,1,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Xeno-Fiend,Dis,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Dino-Bot,Logos,MM,C,Creature,3,,,1,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Daemo-Bot,Logos,MM,C,Creature,4,1,1,,1,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Lyco-Bot,Logos,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sacro-Bot,Logos,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Umbra-Bot,Logos,MM,C,Creature,2,,,,1,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Xeno-Bot,Logos,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Dino-Knight,Sanctum,MM,C,Creature,3,,,1,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Daemo-Knight,Sanctum,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lyco-Knight,Sanctum,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Techno-Knight,Sanctum,MM,C,Creature,4,,,,1,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Umbra-Knight,Sanctum,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Xeno-Knight,Sanctum,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Daemo-Saurus,Saurian,MM,C,Creature,3,1,1,1,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lyco-Saurus,Saurian,MM,C,Creature,2,,,1,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sacro-Saurus,Saurian,MM,C,Creature,2,,,1,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Techno-Saurus,Saurian,MM,C,Creature,3,,,1,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Umbra-Saurus,Saurian,MM,C,Creature,2,,,1,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Xeno-Saurus,Saurian,MM,C,Creature,3,,,1,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Dino-Thief,Shadows,MM,C,Creature,2,,,1,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Daemo-Thief,Shadows,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lyco-Thief,Shadows,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sacro-Thief,Shadows,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Techno-Thief,Shadows,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Xeno-Thief,Shadows,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dino-Alien,StarAlliance,MM,C,Creature,3,,,1,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Daemo-Alien,StarAlliance,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lyco-Alien,StarAlliance,MM,C,Creature,4,,,,1,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Sacro-Alien,StarAlliance,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Techno-Alien,StarAlliance,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Umbra-Alien,StarAlliance,MM,C,Creature,2,,,,1,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dino-Beast,Untamed,MM,C,Creature,3,,,1,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Daemo-Beast,Untamed,MM,C,Creature,3,1,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sacro-Beast,Untamed,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Techno-Beast,Untamed,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Umbra-Beast,Untamed,MM,C,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Xeno-Beast,Untamed,MM,C,Creature,3,,,,1,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Evil Twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Armadrone,Logos,DT,E,Creature,2,,1,,,,,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Evil Binary Moray,Logos,DT,E,Creature,2,,,,,,1,,,,,,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Evil Captain Kresage,Logos,DT,E,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Evil Old Egad,Logos,DT,E,Creature,2,,,1,,,,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Evil PI Sweven,Logos,DT,E,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Prof. Garwynne,Logos,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil Talmage Steelheart,Logos,DT,E,Creature,2,,,1,,,,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Evil Almsmaster,Sanctum,DT,E,Creature,4,1,1,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Evil Grey Augur,Sanctum,DT,E,Creature,2,1,,,,,1,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Laerie of the Lake,Sanctum,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil Lightsmith Clariel,Sanctum,DT,E,Creature,1,,,,,,1,,,,,,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Evil Seneschal Sargassa,Sanctum,DT,E,Creature,4,,1,,,,1,,,,,,,0,0,-1,-2,,8,4,12,4.0,15,3.75,17,3.4
Evil Sir Bevor,Sanctum,DT,E,Creature,2,,,,,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Urien the Circumspect,Sanctum,DT,E,Creature,3,,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Evil Bestiarii Urso,Saurian,DT,E,Creature,3,,,1,,,1,,,,,,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Evil Censor Philo,Saurian,DT,E,Creature,2,,,1,,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Eclectic Ambrosius,Saurian,DT,E,Creature,2,,,,,,1,,,,,,,0,-1,-1,-2,,4,2,5,1.7,6,1.5,6,1.2
Evil Lapisaurus,Saurian,DT,E,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Magistra Vita,Saurian,DT,E,Creature,2,,,,,,1,,,,,,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Evil Physicus Felix,Saurian,DT,E,Creature,2,,,,,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Undagnathus,Saurian,DT,E,Creature,2,,,,,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Captain No-Beard,Shadows,DT,E,Creature,3,,1,,,,1,,,,,,,-1,-1,-2,-2,,5,2.5,7,2.3,8,2,9,1.8
Evil Freebooter Faye,Shadows,DT,E,Creature,4,,1,,,,1,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Evil Hard Simpson,Shadows,DT,E,Creature,3,,1,,,,1,,,,,,,0,0,-1,-2,,6,3,9,3.0,11,2.75,12,2.4
Evil Hobnobber,Shadows,DT,E,Creature,2,,1,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Monty Bank,Shadows,DT,E,Creature,0,,,,,,,,,,,,,-2,-3,-4,-5,,-2,-1,-5,-1.7,-9,-2.25,-14,-2.8
Evil One-Eyed Willa,Shadows,DT,E,Creature,2,,1,,,,,,,,,,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Evil Sea Urchin,Shadows,DT,E,Creature,6,,1,,,,,,,,,,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Evil 5C077,Star Alliance,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil C.R. Officer Hawkins,Star Alliance,DT,E,Creature,4,,1,,,,,,,,,,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Evil CH-337A,Star Alliance,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil Colonist Chapman,Star Alliance,DT,E,Creature,2,,1,,,,,1,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Operative Espion,Star Alliance,DT,E,Creature,2,,,1,,,1,,,,,,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Evil Rocketeer Tryska,Star Alliance,DT,E,Creature,2,,,,,,1,,,,,,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Evil Shield-U-Later,Star Alliance,DT,E,Creature,2,,,,,,1,,,,,,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Evil Flamegill Enforcer,Fish,DT,E,Creature,2,,1,,,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Giltspine Netcaster,Fish,DT,E,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil Horrid Synan,Fish,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil Kaupe,Fish,DT,E,Creature,1,,,1,,,1,,,,,,,1,0,-1,-2,,3,1.5,4,1.3,4,1,3,0.6
Evil Taniwha,Fish,DT,E,Creature,2,,,,1,,1,,,,,,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Evil Tomwa of the Glow,Fish,DT,E,Creature,2,,,,,1,,,,,,,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Evil Wikolia,Fish,DT,E,Creature,2,,,,,,,,,,,,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Evil AEmberfin Shark,Untamed,DT,E,Creature,3,,1,,,,1,,,,,,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Evil Chelonia,Untamed,DT,E,Creature,4,,1,,,,,,,,,,,1,1,2,3,,9,4.5,14,4.7,20,5,27,5.4
Evil Mookling,Untamed,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Evil Ol' Paddy,Untamed,DT,E,Creature,3,,,1,,,1,,,,,,,0,-1,-1,-2,,6,3,8,2.7,10,2.5,11,2.2
Evil Sporegorger,Untamed,DT,E,Creature,2,,,1,,,1,,,,,,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Evil Witch of the Dawn,Untamed,DT,E,Creature,5,1,,,1,,,,,,,,,1,1,2,3,,11,5.5,17,5.7,24,6,32,6.4
Evil Youngest Bear,Untamed,DT,E,Creature,1,,,,,,,,,,,,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Choose Card,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Linked Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help From Future Self,Logos,COTA,R,Action,6,1,,,1,,,,,,,1.50,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Timetraveller,Logos,COTA,R,Creature,6,1,,,1,,,,,,,1.50,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Horseman of War,Sanctum,COTA,R,Creature,2,,,1,,,1,,,,,0.50,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Horseman of Death,Sanctum,COTA,R,Creature,2,,,,,,1,,,,,0.50,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Horseman of Pestilence,Sanctum,COTA,R,Creature,2,,,1,,,1,,,,,0.50,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Horseman of Famine,Sanctum,COTA,R,Creature,2,,,1,,,1,,,,,0.50,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Ortannu the Chained,Dis,AOA,R,Creature,3,,,1,,,1,,,,,0.75,,1,2,2,2,,7,3.5,12,4.0,17,4.25,22,4.4
Ortannu's Binding,Dis,AOA,R,Creature,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Igon the Green,Brobnar,WC,R,Creature,1,,,,,,1,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Igon the Terrible,Brobnar,WC,R,Creature,1,,1,,,,1,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Dexus,Dis,WC,R,Creature,3,,1,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Hyde,Logos,WC,R,Creature,2,,,,1,,1,,,,,0.50,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Velum,Logos,WC,R,Creature,2,,,,1,,,,,,,0.50,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Molina's Blaster,StarAlliance,WC,C,Upgrade,2,1,,1,,,,,,,,2.00,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Chan's Blaster,StarAlliance,WC,C,Upgrade,3,1,,1,,,,,,,,3.00,,-1,-2,-3,-4,,5,2.5,6,2.0,6,1.5,5,1
Frane's Blaster,StarAlliance,WC,C,Upgrade,4,1,1,1,,,,,,,,4.00,,0,-1,-2,-3,,8,4,11,3.7,13,3.25,14,2.8
Garcia's Blaster,StarAlliance,WC,C,Upgrade,4,1,1,1,,,,,,,,4.00,,0,-1,-2,-3,,8,4,11,3.7,13,3.25,14,2.8
Ingram's Blaster,StarAlliance,WC,C,Upgrade,2,1,,1,,,,,,,,2.00,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Khrkhar's Blaster,StarAlliance,WC,C,Upgrade,2,1,,1,,,,,,,,2.00,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Kirby's Blaster,StarAlliance,WC,C,Upgrade,5,1,,1,1,,,,,,,5.00,,1,0,-1,-2,,11,5.5,16,5.3,20,5,23,4.6
Qincan's Blaster,StarAlliance,WC,C,Upgrade,3,1,,1,,,,,,,,3.00,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Walls' Blaster,StarAlliance,WC,C,Upgrade,3,1,,1,,,,,,,,3.00,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Toad,Untamed,WC,R,Creature,0,,,,,,,,,,,0.00,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
Odd Clawde,Logos,MM,C,Creature,3,,1,,,,1,,,,,3.00,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
